Country,Query,Status,Match
Afghanistan,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Afghanistan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Albania,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Albania,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Algeria,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Algeria,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No- Misses Information
Andorra,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Andorra,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Angola,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Angola,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Antigua and Barbuda,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Antigua and Barbuda,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest excluding,No - Wrong Info
Argentina,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Argentina,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Armenia,1. Is there a law that requires routine childhood vaccination in ? ,New document identified - suggest excluding,No - Wrong Info
Armenia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Australia,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Australia,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No - Wrong Info
Austria,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Austria,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest excluding,No - Wrong Info
Azerbaijan,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Azerbaijan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No- Misses Information
Bahamas,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No - Wrong Info
Bahamas,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Bahrain,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Bahrain,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Bangladesh,1. Is there a law that requires routine childhood vaccination in ? ,New document identified - suggest including,No - Provides More Info
Bangladesh,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No- Misses Information
Barbados,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Barbados,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,No- Misses Information
Belarus,1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,Yes
Belarus,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Belgium,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Belgium,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Belize,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Belize,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Benin,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Benin,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Bhutan,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,No- Misses Information
Bhutan,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",No relevant documents identified,Yes
Bolivia (Plurinational State of),1. Is there a law that requires routine childhood vaccination in ? ,No relevant documents identified,No - Wrong Info
Bolivia (Plurinational State of),"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,No- Misses Information
Bosnia and Herzegovina,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Bosnia and Herzegovina,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Botswana,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Botswana,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",Identified document(s) already in Airtable,Yes
Brazil,1. Is there a law that requires routine childhood vaccination in ? ,Identified document(s) already in Airtable,Yes
Brazil,"2. In the event of an emergency, can the government require a citizen to receive a vaccination in?",New document identified - suggest excluding,No - Wrong Info
